Cluster,Age,Height,Weight,Body Mass Index (BMI),Total Body Water (TBW),Extracellular Water (ECW),Intracellular Water (ICW),Extracellular Fluid/Total Body Water (ECF/TBW),Total Body Fat Ratio (TBFR) (%),Lean Mass (LM) (%),Body Protein Content (Protein) (%),Visceral Fat Rating (VFR),Bone Mass (BM),Muscle Mass (MM),Obesity (%),Total Fat Content (TFC),Visceral Fat Area (VFA),Visceral Muscle Area (VMA) (Kg),Hepatic Fat Accumulation (HFA),Glucose,Total Cholesterol (TC),Low Density Lipoprotein (LDL),High Density Lipoprotein (HDL),Triglyceride,Aspartat Aminotransferaz (AST),Alanin Aminotransferaz (ALT),Alkaline Phosphatase (ALP),Creatinine,Glomerular Filtration Rate (GFR),C-Reactive Protein (CRP),Hemoglobin (HGB),Vitamin D
0,49.61,159.29,74.24,29.34,34.32,14.8,19.37,43.24,33.45,66.45,14.97,7.7,2.43,45.7,44.64,25.97,11.6,27.19,0.97,102.7,205.36,125.52,56.22,116.54,17.48,17.92,73.65,0.69,100.78,2.37,13.13,20.49
1,46.62,174.59,86.54,28.44,46.51,19.22,27.67,41.24,23.39,76.55,16.86,10.38,3.16,62.38,27.54,21.14,12.72,33.45,1.32,114.34,201.73,127.72,43.1,170.93,25.66,35.3,72.6,0.9,100.86,1.36,15.63,22.26
