,PC1,PC2,PC3,PC4,PC5,PC6
pm10,0.45584657665569495,-0.06233054461513906,0.16727786168604208,0.10400334987704099,-0.3299860711677233,-0.32809355678827934
pm2_5,0.4787131032317935,-0.10614263575482313,0.028818254088472148,0.15519603922013986,-0.11523767131422222,-0.14840717828375724
carbon_monoxide,0.3838615544369864,0.15959274482628333,-0.1941979011927123,-0.10243975526535859,0.7135326715575778,0.29674360582395254
nitrogen_dioxide,0.20433608685968374,0.626626815938812,0.06608189433081618,-0.163651195555618,0.00991903585492886,0.06337554278906958
sulphur_dioxide,0.21778867939939406,0.5953062018769067,0.12065393358826705,0.09120663395415808,-0.14129962454366735,-0.20816147745878574
ozone,0.355539609214633,-0.36321135798333753,0.003495189420978982,0.2336703418974653,0.39124447943175966,-0.3401365369596108
aerosol_optical_depth,0.40918063932259546,-0.2192542944564238,0.10041674192383966,-0.04389172874260606,-0.35433127816593024,0.7431815709743506
dust,0.017511515476184007,-0.14834013219931166,0.7267719973133775,-0.6294285256887228,0.1689131160320206,-0.10939929000101319
uv_index,-0.17988597113676294,0.10162887585964706,0.6133981883394737,0.6832237143108433,0.2036715229398088,0.2344047436493726
