date,PC1,PC2,PC3,PC4,PC5,PC6,us_aqi,european_aqi
2022-08-01,-0.46795948367228213,-0.14877016713393973,-0.2919130092145716,0.31528399971185245,0.013887334795738797,0.03226300827251676,,
2022-08-02,-0.46795948367228213,-0.14877016713393973,-0.2919130092145716,0.31528399971185245,0.013887334795738797,0.03226300827251676,,
2022-08-03,-0.46795948367228213,-0.14877016713393973,-0.2919130092145716,0.31528399971185245,0.013887334795738797,0.03226300827251676,,
2022-08-04,1.2519523837496964,3.767905821236086,0.6722010529085607,1.0149207917798024,0.011565351480979823,0.12588880463182897,,
2022-08-05,-0.5588915639084279,3.477772465912256,-1.3470987115942765,-1.3501534399059185,-0.43981517140974347,-0.4574126744774724,70.42105263157895,47.31578947368421
2022-08-06,-0.9859751694659338,3.2461562420149495,-0.9997813149526883,-0.974926347745798,-0.5115165637136838,-0.3568758767350625,55.75,29.45833333333333
2022-08-07,-1.4736387147475423,3.278623872379617,-0.7359775018031722,-0.765439628462324,-0.4394252481602249,-0.007896860394827544,59.04166666666666,32.625
2022-08-08,-0.9511848950129645,3.157541391801167,-0.00826848419077504,-0.06818899026280129,-0.24976040172669606,0.33940308715393736,55.25,30.08333333333333
2022-08-09,-1.0970082892447286,2.653237527592255,-0.07944832004376277,-0.3435541398073735,-0.4256969827399218,0.5344706124958641,56.54166666666666,31.041666666666668
2022-08-10,-1.081686582153228,2.218354545372719,0.301726075313545,0.279668418247636,-0.3114658472718193,0.2680505274144399,58.25,33.125
2022-08-11,-0.7451192890139344,2.227616507704931,0.5586607787327175,0.41866706865528275,-0.7469654857623226,-0.2110099924569357,62.25,36.0
2022-08-12,-0.33469645124404707,3.9508359648040496,0.8263825552386288,0.7151733298346341,-1.2090718009504944,-0.42652774674466953,71.95833333333333,49.25
2022-08-13,0.4517161913802988,3.9214374838389445,0.7298739462629669,0.7289815293642737,-1.0814857596956122,-0.6516821547283591,76.5,57.75
2022-08-14,0.254893272689229,3.5643752899509726,0.11433258532886569,-0.5502336022962363,-1.0295224517518178,-0.2049225283321538,79.41666666666667,59.375
2022-08-15,2.094804046014741,2.938270083079715,0.49934546442545114,-0.0780376386971114,-0.09797687845108226,-0.01669966214059846,83.125,60.25
2022-08-16,1.2058608039814518,2.13855333809869,0.45659201506351516,-0.16158831989618236,-0.5129040521061493,0.9143340328091839,96.58333333333331,67.20833333333333
2022-08-17,1.6450682384504238,1.601748562803984,0.6928137325939331,0.520890150982473,-0.8176917806228367,0.35620347906311894,78.625,59.04166666666666
2022-08-18,2.7066531133820444,2.650854294311907,0.936691395798448,-0.21873079522262268,-0.8620592044333152,0.09068377490083034,96.45833333333331,67.04166666666667
2022-08-19,1.3033143370423632,3.2309070955863923,0.6744235394661692,-0.29241426717180574,-0.4188692679001186,0.31292634196543156,94.25,66.25
2022-08-20,1.343152368172566,3.426876260382273,0.3892961786957368,-0.7555330895543254,-0.4073760643559129,0.3379595356303658,87.58333333333333,63.75
2022-08-21,0.5442479087784708,2.5188539931783063,0.704435434079071,0.09922610493661188,-0.5690335074265118,-0.04702186568053514,86.875,63.458333333333336
2022-08-22,0.17837412441282857,2.1921191757411815,0.7403237186402539,0.5980576083293403,-0.8632108049549083,0.17677387066041803,85.875,63.125
2022-08-23,0.7520253329286667,2.8100446062134243,0.42258195464583054,0.07064177031435857,-0.8670464136022354,0.29500508631104033,79.0,59.333333333333336
2022-08-24,-0.13982206732460165,2.5511418947567446,0.6987249681071545,0.022798076798363796,-0.896195950093361,0.6350614529557487,76.66666666666667,56.0
2022-08-25,1.417899568146756,3.192204636697734,1.1430404294868524,0.629313852829155,-0.4276619040786757,0.1407673758601149,75.95833333333333,53.958333333333336
2022-08-26,-0.13797928118324546,1.670365924301143,0.6171219120867975,0.7649002577069018,-0.8689302963859933,0.1996293103045682,77.5,57.208333333333336
2022-08-27,1.101424056894585,2.1978461597064425,0.5658415582542322,0.9831910950526953,-0.524719502093779,-0.05246555169536115,77.20833333333333,55.29166666666666
2022-08-28,0.5343769852750454,1.9264527251779922,0.4412448773432052,0.6708143881568335,-0.6607052979814059,0.606400998272589,77.54166666666667,57.083333333333336
2022-08-29,2.3939149646390314,1.9677951997329524,0.3488205926402274,0.31124983892036484,-0.7081448268921685,1.1240429716618805,83.20833333333333,61.708333333333336
2022-08-30,-0.6770916379016294,1.257910460946201,-0.01735985390871771,0.4558664573718339,-0.347117919028704,0.32400137845725435,81.91666666666667,59.04166666666666
2022-08-31,-2.0598265433576244,1.5436939932204365,-0.4722299859120353,0.002558805842667121,-0.5744189738490482,0.0744441668180607,55.16666666666666,28.75
2022-09-01,-1.999951060659711,2.2572710829388587,-0.8366800897491804,-0.5042453635034845,-0.5126116453584277,-0.0504265876730745,50.29166666666666,24.58333333333333
2022-09-02,-1.636010001230069,2.0012184197236245,-0.12646835632323505,0.40242986051334945,-0.37164765427230184,-0.12664268570403078,51.333333333333336,25.83333333333333
2022-09-03,0.4322938932377261,2.284929467454661,0.6062045997783938,1.266342612752647,-0.5338983497523665,-0.5730384246845938,65.0,44.04166666666666
2022-09-04,1.5234740644544547,2.218827459032466,0.3257301637329764,0.9698770643629419,-0.3299651382222466,-0.31800036928119974,92.45833333333331,64.70833333333333
2022-09-05,0.2266293829112009,2.115238261288253,0.4357606927267522,1.2170819305262544,-0.05746420599589229,-0.598899948853691,80.79166666666667,58.958333333333336
2022-09-06,1.3464657071786144,2.9333393904897824,0.49528597444038236,1.0688660465549171,-0.15352907988488873,-0.3304446879431131,80.29166666666667,59.91666666666666
2022-09-07,2.645751015078666,5.182061937589205,-0.568604737804598,-0.6543396219025739,-0.3455693028207275,-0.48075771220382896,87.33333333333333,63.583333333333336
2022-09-08,0.46998144194859715,4.581261197026591,-0.5425870335950052,-0.6426907992004982,-0.06749451296461424,0.012179866231852679,84.20833333333333,61.41666666666666
2022-09-09,0.6493298541440613,4.139079299860809,-0.182696634982514,-0.12405777551337153,-0.06393304908817508,-0.09403537588090002,73.91666666666667,52.875
2022-09-10,0.249762278275108,3.678274086643484,-0.6849752071734807,-0.6484908127636738,-0.05701086481916725,-0.17551722994635163,76.125,56.75
2022-09-11,-0.4106236046584118,2.7410178044926043,-0.5658435509234042,-0.5461249926645757,-0.4203520830226943,-0.08574725036119418,67.45833333333333,41.75
