Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
PC1,0.43068362471456334,0.43068362471456334
PC2,0.21725403433377727,0.6479376590483406
PC3,0.13117119690206636,0.7791088559504069
PC4,0.08770931029487036,0.8668181662452773
PC5,0.059687295253713975,0.9265054614989913
PC6,0.030607473055343178,0.9571129345543344
PC7,0.02899943150216909,0.9861123660565035
PC8,0.009001986600182458,0.995114352656686
PC9,0.004885647343313963,1.0
